ID;TIME;NAME;TEXT;ROLE;HATE;TARGET;VERBAL_ABUSE;INTENTION;CONTEXT;DISAGREEMENT;TYPE_D
0;[2:41:37 PM]; <Adrien-Harceleur>; WESH silvia pk tu vien et tu fou la merde dans les couple;bully;OAG;victim;OTH;ATK;NULL;;
1;[2:42:10 PM]; <Théo-Soutien-Harceleur>; grave tu viens et tu pécho d'autre gars ;bully_support;NAG;NULL;NULL;AIN;ATK;HATE;SUBJECTIVITY
2;[2:42:12 PM]; <Silvia-Victime>; tu parle de quoi c'est lucas qui a foutu la merde;victim;OAG;bully;OTH;DFN;ATK;;
3;[2:42:56 PM]; <Théo-Soutien-Harceleur>; vas y t'es tellement une pute que tu irai draguer meme les mecs de tes copines;bully_support;OAG;victim;DNG;ATK;NULL;;
4;[2:43:34 PM]; <Silvia-Victime>; nan mais les gars calmez vous quoi si lucas c'est lui la pute j'y peu rien;victim;OAG;NULL;NCG;DFN;ATK;;
5;[2:44:40 PM]; <Théo-Soutien-Harceleur>; Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus;bully_support;OAG;victim;DNG;GSL;NULL;"HATE
INTENTION";"AMBIGUITY
AMBIGUITY"
6;[2:45:34 PM]; <Silvia-Victime>; Lucas il ma di qu'il voulait pas rester avecc sophie ;victim;NAG;NULL;NULL;CNS;GSL;"INTENTION
CONTEXT";"AMBIGUITY
AMBIGUITY"
7;[2:45:51 PM]; <Théo-Soutien-Harceleur>; mon cul:@ ;bully_support;OAG;victim;OTH;GSL;CNS;INTENTION;AMBIGUITY
8;[2:46:06 PM]; <Camille-Soutien-Harceleur>; aller niquez vos mere;bully_support;OAG;victim/victim_support;OTH;ATK;NULL;;
9;[2:46:15 PM]; <Soan-Soutien-Victime>; toi nike ta mere sallle pute;victim_support;OAG;bully_support;OTH;DFN;ATK;;
10;[2:46:33 PM]; <Adrien-Harceleur>; lucas etait en couple et toi tu est tjr la tu fou la merde en plus tu savai;bully;OAG;victim;OTH;GSL;CNS;INTENTION;AMBIGUITY
11;[2:46:50 PM]; <Soan-Soutien-Victime>; laisser silivia tranquille avant je vous encule bande de cave;victim_support;OAG;bully/bully_support;OTH;DFN;ATK;;
12;[2:47:05 PM]; <Camille-Soutien-Harceleur>; sa ser a rien de le défendre t qune pute assumee suceuse;bully_support;OAG;victim;OTH;ATK;DFN;VERBAL_ABUSE;SLOPPY
13;[2:47:12 PM]; <Soan-Soutien-Victime>; et alors lucas il est moche;victim_support;OAG;NULL;DNG;DFN;ATK;"INTENTION
VERBAL_ABUSE";"AMBIGUITY
SLOPPY"
14;[2:47:20 PM]; <Adrien-Harceleur>; tu va rien faire c'est de sa faute ;bully;NAG;NULL;NULL;OTH;DFN;"INTENTION
CONTEXT";"SLOPPY
AMBIGUITY"
15;[2:47:27 PM]; <Soan-Soutien-Victime>; ta mere la reine des salope ;victim_support;OAG;bully;OTH;DFN;OTH;;
16;[2:47:34 PM]; <Silvia-Victime>; lucas jmen balek il a qu'a rester avec sa sophie c'est elle qui est moche;victim;OAG;NULL;DNG;DFN;NULL;VERBAL_ABUSE;AMBIGUITY
17;[2:47:42 PM]; <Théo-Soutien-Harceleur>; qu'est qu'elle a l'autre rousse? tu défend les putes;bully_support;OAG;victim_support;OTH;ATK;DFN;CONTEXT;AMBIGUITY
