ID,TIME,NAME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT
0,[2019-06-13 14:04:07], <Diana>, hy,bully_support,NAG,NULL,NULL,OTH,NULL
1,[2019-06-13 14:05:54], <Diana>, 👋,bully_support,NAG,NULL,NULL,OTH,NULL
2,[2019-06-13 14:06:23], <Silvia_Victime>, Salut,victim,NAG,NULL,NULL,OTH,NULL
3,[2019-06-13 14:11:30], <Adrien_harceleur>, salut ,bully,NAG,NULL,NULL,OTH,NULL
4,[2019-06-13 14:11:46], <Silvia_Victime>," Salut Adri,  ça va?",victim,NAG,NULL,NULL,OTH,OTH
5,[2019-06-13 14:11:50], <Amos>, ok on est avec toi Adrien,bully_support,NAG,NULL,NULL,OTH,NULL
6,[2019-06-13 14:12:03], <Silvia_Victime>, pq vous dites ça?,victim,NAG,NULL,NULL,OTH,OTH
7,[2019-06-13 14:12:16], <Adrien_harceleur>, déja toi sylvia me parle pas,bully,OAG,victim,OTH,ATK,NULL
8,[2019-06-13 14:12:23], <Silvia_Victime>, pq tu dis ça?,victim,NAG,NULL,NULL,OTH,ATK
9,[2019-06-13 14:12:47], <Adrien_harceleur>, t as vu ce que t as fait a la soiré sale pute,bully,OAG,victim,NCG,ATK,OTH
10,[2019-06-13 14:12:57], <Silvia_Victime>, euh quelle soirée?,victim,NAG,NULL,NULL,OTH,ATK
11,[2019-06-13 14:13:02], <Silvia_Victime>, et pq tu me traites de pute?,victim,NAG,NULL,NULL,OTH,ATK
12,[2019-06-13 14:13:04], <Diana>, c'est clair tu abuses !,bully_support,NAG,NULL,NULL,AIN,ATK
13,[2019-06-13 14:13:10], <Herbert_concil>, calme toi adri,conciliator,NAG,NULL,NULL,CR,ATK
14,[2019-06-13 14:13:10], <Silvia_Victime>, t'as un problème ?,victim,NAG,NULL,NULL,OTH,ATK
15,[2019-06-13 14:13:18], <Adrien_harceleur>, oui c toi,bully,CAG,victim,OTH,ATK,OTH
16,[2019-06-13 14:13:30], <Silvia_Victime>, et toi Diana avec ta gueule de macaque de quoi tu parles?,victim,OAG,bully_support,DNG,DFN,AIN
17,[2019-06-13 14:13:55], <Adrien_harceleur>, commence pas a parler d elle comme ca,bully,NAG,NULL,NULL,OTH,DFN
18,[2019-06-13 14:14:03], <Soan_SoutienV>, C pas de sa faute c Lucas,victim_support,NAG,NULL,NULL,OTH,NULL
19,[2019-06-13 14:14:08], <Silvia_Victime>, c'est quoi ton fucking pblm,victim,OAG,bully,OTH,DFN,NULL
20,[2019-06-13 14:14:10], <Amos_soutienAdri>, Tu t'es jamais vu au miroir? avant de parler,bully_support,CAG,victim,NCG,ATK,DFN
21,[2019-06-13 14:14:13], <Silvia_Victime>, merci Soan,victim,NAG,NULL,NULL,OTH,OTH
22,[2019-06-13 14:14:23], <Silvia_Victime>, *dans le miroir,victim,CAG,bully_support,DNG,DFN,ATK
23,[2019-06-13 14:14:29], <Silvia_Victime>, achète un bescherelle,victim,CAG,bully_support,DNG,DFN,ATK
24,[2019-06-13 14:14:37], <Herbert_concil>,  Les gars faut pas en faire toute une histoire calmez vous,conciliator,NAG,NULL,NULL,CR,NULL
25,[2019-06-13 14:14:45], <Silvia_Victime>, de quoi on parle merde?,victim,NAG,NULL,NULL,OTH,NULL
26,[2019-06-13 14:14:56], <Amos_soutienAdri>, je suis espagnol pardon de ne pas tout savoir connasse ,bully_support,OAG,victim,NCG,ATK,DFN
27,[2019-06-13 14:15:11], <Silvia_Victime>, de où je suis une connasse?,victim,NAG,NULL,NULL,OTH,ATK
28,[2019-06-13 14:15:18], <Diana>, tu as embrasser Lucas alors que sophia est ta pote ! ,bully_support,CAG,victim,BLM,AIN,OTH
29,[2019-06-13 14:15:27], <Diana>, tu as foutu la merde dans leurs couple ,bully_support,CAG,victim,BLM,AIN,OTH
30,[2019-06-13 14:15:31], <Diana>, c'est dégeulasse,bully_support,NAG,NULL,NULL,AIN,OTH
31,[2019-06-13 14:15:32], <Amos_soutienAdri>, bravo. je te complimente,bully_support,CAG,victim,DNG,AIN,OTH
32,[2019-06-13 14:15:37], <Silvia_Victime>, c'est Lucas qui a mis sa langue dans ma bouche donc déjà tu redescends,victim,NAG,NULL,NULL,DFN,AIN
33,[2019-06-13 14:15:53], <Adrien_harceleur>, sylvia t vraiment la pire des grosses salope tu savait qu il été en couple est tu la embrassé ta aucun *e race ,bully,OAG,victim,DNG,ATK,DFN
34,[2019-06-13 14:15:58], <Amos_soutienAdri>, en plus tu dis que c'est sa faute,bully_support,NAG,NULL,NULL,AIN,ATK
35,[2019-06-13 14:15:59], <Silvia_Victime>, j'y peux rien si elle est pas foutue de tenir son mec,victim,NAG,NULL,NULL,DFN,AIN
36,[2019-06-13 14:16:04], <Adrien_harceleur>, vas crevé en enfer ,bully,OAG,victim,OTH,ATK,DFN
37,[2019-06-13 14:16:15], <Silvia_Victime>, Avec ta mère Adrien,victim,OAG,bully,OTH,DFN,ATK
