ID,TIME,NAME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT
0,09:13:10 AM,Theo68, wsh canapeche,bully_support,NAG,NULL,NULL,OTH,NULL
1,09:13:11 AM,Soan, Pourquoi tu dis ça Adrien ?????,victim_support,NAG,NULL,NULL,OTH,NULL
2,09:13:15 AM,SilviaVictime, What ?,victim,NAG,NULL,NULL,OTH,NULL
5,09:13:53 AM,Adrien94, Soan ptite pute Soan arrete de pomper a tout va,bully,OAG,victim_support,OTH,ATK,OTH
6,09:14:11 AM,Soan, Sérieux tu te prends pour qui ?,victim_support,CAG,bully,OTH,DFN,ATK
7,09:14:29 AM,SilviaVictime," T'es serieux, qu'es tu veut Adrien",victim,CAG,bully,OTH,DFN,ATK
8,09:14:30 AM,camille, essuie toi la bouche il ten reste encore un peu,bully_support,OAG,victim_support,OTH,AIN,ATK
9,09:14:46 AM,Adrien94, en plus t’es trop vilan Soan tu passe pas les portes,bully,OAG,victim_support,DNG,ATK,DFN
10,09:15:01 AM,hebert, calma mi amigo,conciliator,NAG,NULL,NULL,CR,NULL
12,09:15:22 AM,Adrien94, tg,bully,OAG,conciliator,OTH,ATK,CR
13,09:15:34 AM,Adrien94, t’as pas le droit a la parole femme arrete de parler hebert,bully,OAG,victim/conciliator,OTH,ATK,CR
14,09:15:49 AM,Soan, Et ta mère ?,victim_support,OAG,bully,OTH,DFN,ATK
15,09:16:16 AM,Theo68, t'es une pute t'as trahi ta camarde,bully_support,OAG,victim,OTH,ATK,DFN
16,09:16:48 AM,Diana," tu prend les mec des autres, on a toujours su que t'etais une connasse",bully_support,OAG,victim,OTH,ATK,DFN
17,09:16:53 AM,hebert, c’est juste une petite erreur des deux faut pas s’emballer,conciliator,NAG,NULL,NULL,CR,NULL
18,09:17:02 AM,Soan, C'est votre pote la pute ici,victim_support,OAG,bully,NCG,DFN,ATK
19,09:17:06 AM,Adrien94, silvia on a toujours dis que t etais une traînée,bully,OAG,victim,DNG,GSL,NULL
20,09:17:07 AM,Soan, Pas Silvia,victim_support,NAG,NULL,NULL,OTH,ATK
21,09:17:11 AM,Adrien94, que ca pompe,bully,OAG,victim,DNG,ATK,NULL
22,09:17:12 AM,Theo68, on va te mmeler,bully_support,OAG,victim,THR,ATK,NULL
23,09:17:12 AM,camille, ta gueule tu defends une salope,bully_support,OAG,victim_support,OTH,ATK,OTH
24,09:17:32 AM,Adrien94, Soan reprend parti jte baise,bully,OAG,victim_support,THR,ATK,OTH
25,09:17:54 AM,hebert, oh Soan sale bougnoule ftg,conciliator,OAG,victim_support,OTH,ATK,OTH
26,09:18:02 AM,Adrien94, bougnoule !!,bully,OAG,victim_support,NCG,ATK,OTH
27,09:18:06 AM,Soan, Racisme,victim_support,NAG,NULL,NULL,CNS,ATK
28,09:18:12 AM,Theo68, tg,bully_support,OAG,victim_support,OTH,ATK,CNS
29,09:18:19 AM,Adrien94, tg t’as pas le droit a la parole Soan,bully,OAG,victim_support,OTH,ATK,CNS
30,09:18:28 AM,SilviaVictime, Oh Lucas fait ce qu'il veut si il me prefère c'est son choix ! je n'y suis pour iren,victim,NAG,NULL,NULL,OTH,NULL
31,09:18:38 AM,Soan, Il te prefere tqt,victim_support,NAG,NULL,NULL,EMP,OTH
32,09:18:42 AM,SilviaVictime, laissez moi tranquille,victim,NAG,NULL,NULL,EMP,NULL
33,09:18:46 AM,Soan, Ils sont juste cons,victim_support,NAG,NULL,NULL,EMP,OTH
34,09:18:51 AM,Diana, mdrrr sale' serbe retourne dans ton pays,bully_support,OAG,victim_support,OTH,ATK,EMP
35,09:19:00 AM,SilviaVictime, Quelle est le rapport putain ??!!,victim,NAG,NULL,NULL,DFN,ATK
36,09:19:06 AM,Adrien94," Soan par pitier deja que personne t’aime, arrete de parler",bully,OAG,victim_support,DNG,ATK,EMP
37,09:19:09 AM,SilviaVictime, Tu est rasiste en plus d'etre con ? En quoi ça te concerne en plus ??.,victim,OAG,bully,OTH,DFN,ATK
38,09:19:39 AM,Adrien94, silvia tu merite,bully,CAG,victim,OTH,GSL,DFN
39,09:19:42 AM,Soan, Bande de racistes,victim_support,OAG,bully/bully_support,OTH,DFN,ATK
40,09:19:55 AM,Diana, Je defend mon pote tout simplement,bully_support,NAG,NULL,NULL,OTH,DFN
41,09:19:58 AM,hebert," mais laisser silvia et lucas faire ce qu’ils veulent, ça vous regarde pas",conciliator,NAG,NULL,NULL,CR,NULL
42,09:20:02 AM,SilviaVictime," Adrien94  Tu n'as rie nd'autre a faire que de venir foutre la merde ici, tu as pas d'amis pour t'occuper ?",victim,OAG,bully,DNG,DFN,GSL
43,09:20:04 AM,Adrien94, bien dit Diana ! tg,bully,OAG,victim,OTH,AIN,OTH
44,09:20:10 AM,Theo68, pourquoi tu te mets à la place de la victime alors que c'est toi la tapin,bully_support,OAG,victim,OTH,GSL,NULL
45,09:20:13 AM,Adrien94, parle pas,bully,OAG,victim,OTH,ATK,DFN
46,09:20:32 AM,Soan, Vous bouffez votre seum parce que votre pote à pécho Silvia parce qu'elle est bien plus belle que Sophie,victim_support,NAG,NULL,NULL,DFN,NULL
47,09:20:43 AM,Adrien94, toi t’ez un thon trop vilaine et elle parle,bully,OAG,victim_support,DNG,ATK,DFN
48,09:21:01 AM,Diana," mais gros elle est dans sa classe allo elle a pas de respect pour elle, va sur les trottoirs c'est pareil",bully_support,OAG,victim,OTH,ATK,DFN
49,09:21:16 AM,SilviaVictime, Diana si tu as un minimum de cerveau tu ne suis pas les connerie d'adrien,victim,OAG,bully_support,DNG,DFN,ATK
50,09:21:22 AM,Soan, T'es super vilain Adrien,victim_support,OAG,bully,DNG,DFN,ATK
51,09:21:24 AM,camille, mdr quel seum t'es juste un bouche trou crois pas des bonne,bully_support,OAG,victim,DNG,ATK,DFN
52,09:21:24 AM,Adrien94, silvia t’as chatte toute degeulasse,bully,OAG,victim,DNG,ATK,NULL
53,09:21:25 AM,Theo68, tg Soan t'es au meme niveau que ta pote crasseuse,bully_support,OAG,victim_support,DNG,ATK,DFN
54,09:21:36 AM,Soan, Les conneries d'Adrien sont aussi grosses que lui,victim_support,OAG,bully,DNG,DFN,ATK
55,09:21:48 AM,Adrien94, Soan t’es panini,bully,NAG,NULL,NULL,OTH,DFN
56,09:22:00 AM,Soan, le rapport ???????????? T'es très peu futé,victim_support,OAG,bully_support,DNG,DFN,OTH
57,09:22:12 AM,Diana, silvia me parle pas sachant que tu fais la sainte nitouche alors que t'a bz 1000 mecs,bully_support,OAG,victim,DNG,ATK,DFN
58,09:22:15 AM,Adrien94, silvia parle si t as des couille grognasse,bully,OAG,victim,OTH,AIN,ATK
59,09:22:52 AM,hebert, mais adrien trkl ça te regarde pas,conciliator,NAG,NULL,NULL,CR,ATK
60,09:23:03 AM,Adrien94, arrete d essayer de calmer,bully,OAG,conciliator,THR,ATK,CR
61,09:23:03 AM,camille, ta bouche c'est un garage arrête de parler,bully_support,CAG,victim,OTH,ATK,NULL
62,09:23:10 AM,Adrien94, ou je vais t’attraper aussi,bully,OAG,conciliator,THR,ATK,CR
63,09:23:15 AM,Diana, hebert tu sers a rien,bully_support,OAG,conciliator,DNG,ATK,CR
64,09:23:16 AM,Soan, très peu stylé votre répartie... vous embrouillez pour rien,victim_support,NAG,NULL,NULL,CNS,NULL
65,09:23:26 AM,hebert, mskn,conciliator,NAG,NULL,NULL,EMP,NULL
66,09:23:29 AM,SilviaVictime," Og on c'est juste embrasser 1 fois, c'est quoi ce délire !",victim,NAG,NULL,NULL,OTH,NULL
67,09:23:30 AM,Theo68, tg petasse,bully_support,OAG,victim,OTH,ATK,OTH
68,09:23:58 AM,Adrien94, ta bouche c un garage a teub,bully,OAG,victim,OTH,ATK,OTH
69,09:24:05 AM,Theo68, on va devoir te coudre la bouche,bully_support,victim,victim,OTH,AIN,ATK
70,09:24:36 AM,SilviaVictime," BOn, ta pas des arguments plutot que des insuste en boucle  Adrien ?",victim,NAG,NULL,NULL,CNS,ATK
71,09:24:42 AM,Diana, et alors frr elle etait en cvouple et toi t'embrasse le mec de ta collegue,bully_support,NAG,NULL,NULL,OTH,CNS
72,09:24:55 AM,Soan, Lucas a fauté,victim_support,NAG,NULL,NULL,OTH,OTH
73,09:25:01 AM,Theo68, parle francais le s,bully_support,OAG,victim,DNG,ATK,OTH
74,09:25:03 AM,hebert, mais alors ça te regarde pas Diana t’es qui pour intervenir dans la vie des gens,conciliator,NAG,NULL,NULL,CR,OTH
75,09:25:11 AM,camille, et alors tu sais pas dire,bully_support,NAG,NULL,NULL,OTH,NULL
76,09:25:11 AM,Adrien94, je comprend meme pas pq il t’as embrasse sophi est pas grosse au moins,bully,OAG,victim,DNG,ATK,CNS
77,09:25:12 AM,Soan, C'est pas la faute de Silvia Soyez logique,victim_support,NAG,NULL,NULL,EMP,NULL
78,09:25:20 AM,SilviaVictime, C'est pas moi qui suis en couple et Lucas fait ce qu'il veut,victim,NAG,NULL,NULL,CNS,ATK
79,09:25:30 AM,Soan, Silvia a raison,victim_support,NAG,NULL,NULL,EMP,CNS
80,09:25:36 AM,Diana, et alors t'as pas de respect ou quoi,bully_support,NAG,NULL,NULL,OTH,CNS
81,09:25:37 AM,SilviaVictime, merci Soan,victim,NAG,NULL,NULL,OTH,EMP
82,09:25:37 AM,Adrien94, t’as aucune dignité et Soan pareil,bully,NAG,NULL,NULL,OTH,NULL
83,09:25:38 AM,hebert, de fou adrien arrête de faire la star je vais te chopper dans un coin,conciliator,OAG,bully,THR,DFN,OTH
84,09:25:39 AM,Soan, soyez intelligent Adrien tg,victim_support,OAG,bully,OTH,DFN,OTH
85,09:25:48 AM,Theo68, t'es une pute et tu resteras toujours une pute,bully_support,OAG,victim,DNG,AIN,NULL
86,09:26:05 AM,Soan, tu prends ton seum theo car tu voulais pécho Silvia ? que ça mange son seum..,victim_support,NAG,NULL,NULL,OTH,AIN
87,09:26:38 AM,Diana, je suis sur silvia tes trans,bully_support,OAG,victim,DNG,ATK,NULL
88,09:26:40 AM,Theo68, je l'ai bz comme ta mère,bully_support,OAG,victim_support,OTH,ATK,OTH
89,09:26:47 AM,SilviaVictime," Adrien et ton fan club la, donne t'es arguement ?? qu'es que tu invente, t'as vue quoi d'apres toi ?",victim,NAG,NULL,NULL,OTH,NULL
90,09:26:55 AM,hebert, oh Diana tu parles trop tu fais de la peine p’tite pute,conciliator,OAG,bully_support,OTH,DFN,ATK
91,09:27:05 AM,Adrien94, j’ai vu c tout,bully,NAG,NULL,NULL,OTH,OTH
92,09:27:10 AM,Soan, Bien dit hebert,victim_support,NAG,NULL,NULL,EMP,DFN
93,09:27:11 AM,SilviaVictime, C'est toi uqi vien me parler,victim,NAG,NULL,NULL,OTH,OTH
94,09:27:15 AM,hebert, merci Soan,conciliator,NAG,NULL,NULL,OTH,EMP
95,09:27:19 AM,Diana, hebert je vais te niquer on se fait un tete ?,bully_support,OAG,conciliator,THR,ATK,DFN
