ID;TIME;NAME;TEXT;ROLE;HATE;TARGET;VERBAL_ABUSE;INTENTION;CONTEXT
0;11:09:11 AM;FatimaVictime; nicolas j'ai pris des screens fais gaffe à toi;victim;OAG;bully_support;THR;DFN;NULL
1;11:09:11 AM;Nicolas90; j'attends ta reponse;bully_support;NAG;NULL;NULL;OTH;NULL
2;11:09:12 AM;paulineee; valeur de notre pays;bully;NAG;NULL;NULL;OTH;NULL
3;11:09:16 AM;Nicolas90; ah non;bully_support;NAG;NULL;NULL;OTH;NULL
4;11:09:18 AM;pierre63; venez on va la taper sur MSN;bully_support;OAG;victim;OTH;ATK;NULL
5;11:09:24 AM;Nicolas90; t'as elle a screen;bully_support;NAG;NULL;NULL;OTH;NULL
6;11:09:30 AM;paulineee; en mode on a peur bahaha gros lol;bully;NAG;NULL;NULL;OTH;DFN
7;11:09:52 AM;Nicolas90; Sur le Coran je suis plus fort que messi;bully_support;NAG;NULL;NULL;OTH;NULL
8;11:10:00 AM;paulineee; genie;bully;NAG;NULL;NULL;OTH;NULL
9;11:10:00 AM;Nicolas90; allez ciao;bully_support;NAG;NULL;NULL;OTH;NULL
10;11:10:04 AM;FatimaVictime;" ouais ce que vous faites ça peut vous emmener en prison ;)";victim;NAG;NULL;NULL;CNS;OTH
11;11:10:14 AM;julie; vasi allez vous tuer elle a rien fait;victim_support;OAG;bully/bully_support;OTH;DFN;NULL
12;11:10:20 AM;Nicolas90; tkt pas suffit de connaitre les juges on passe sous le bureau et c'est carré;bully_support;NAG;NULL;NULL;OTH;CNS
13;11:10:40 AM;theo70; ptdddrr mais;conciliator;NAG;NULL;NULL;OTH;OTH
14;11:10:40 AM;julie; allez sous un pont les gens jaloux;victim_support;OAG;bully/bully_support;OTH;DFN;NULL
15;11:10:40 AM;FatimaVictime; tu vois c'est toi la pute maintenant nicolas;victim;OAG;bully_support;NCG;DFN;NULL
16;11:10:44 AM;paulineee; ta photo elle va faire un voyage;bully;OAG;victim;THR;ATK;DFN
17;11:10:48 AM;Nicolas90; fatou t'es pas francaise;bully_support;OAG;victim;DNG;ATK;DFN
18;11:10:54 AM;paulineee; comme toi a ton pays;bully;CAG;victim;DNG;ATK;DFN
19;11:10:57 AM;Nicolas90; t'as les nerfs;bully_support;NAG;NULL;NULL;OTH;DFN
20;11:11:15 AM;FatimaVictime; vous me fatiguez laissez moi vivre ma vie;victim;NAG;NULL;NULL;OTH;NULL
21;11:11:15 AM;julie; vous etes des rageux;victim_support;NAG;NULL;NULL;OTH;NULL
22;11:11:25 AM;julie; laisser la;victim_support;NAG;NULL;NULL;EMP;NULL
