ID,TIME,NAME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT
0,[2019-06-13 15:48:59], <Silvia_Victime>, coucou les amis,victim,NAG,NULL,NULL,OTH,NULL
1,[2019-06-13 15:55:58], <Sophie_Harceleur>, cc,bully,NAG,NULL,NULL,OTH,OTH
2,[2019-06-13 15:56:37], <Silvia_Victime>, ça va Sohpie?,victim,NAG,NULL,NULL,OTH,OTH
3,[2019-06-13 15:57:13], <Silvia_Victime>, :),victim,NAG,NULL,NULL,OTH,NULL
4,[2019-06-13 15:57:37], <Sophie_Harceleur>, mais t'es sérieuse ou quoi??,bully,NAG,NULL,NULL,OTH,OTH
5,[2019-06-13 15:57:43], <Silvia_Victime>, de?,victim,NAG,NULL,NULL,OTH,OTH
6,[2019-06-13 15:57:51], <Adrien_soutienh>, ouai srx,bully_support,NAG,NULL,NULL,OTH,OTH
7,[2019-06-13 15:58:06], <Silvia_Victime>, mais oui sérieux les gars,victim,NAG,NULL,NULL,OTH,OTH
8,[2019-06-13 15:58:12], <Silvia_Victime>, :),victim,NAG,NULL,NULL,OTH,NULL
9,[2019-06-13 15:58:29], <Sophie_Harceleur>, mais ptn tu le fais exprès en + ,bully,NAG,NULL,NULL,OTH,OTH
10,[2019-06-13 15:58:41], <Silvia_Victime>, mais de quoi Sophie?,victim,NAG,NULL,NULL,OTH,OTH
11,[2019-06-13 15:58:58], <Silvia_Victime>, ???,victim,NAG,NULL,NULL,OTH,NULL
12,[2019-06-13 15:59:00], <Sophie_Harceleur>, MAIS bordel!,bully,NAG,NULL,NULL,OTH,OTH
13,[2019-06-13 15:59:13], <Silvia_Victime>, qu'est ce qu'il t'arrive Sophie?,victim,NAG,NULL,NULL,OTH,OTH
14,[2019-06-13 15:59:15], <Silvia_Victime>, :),victim,NAG,NULL,NULL,OTH,NULL
15,[2019-06-13 15:59:27], <Silvia_Victime>, tu es guérie?,victim,NAG,NULL,NULL,OTH,NULL
16,[2019-06-13 15:59:34], <Sophie_Harceleur>, t'as embrassé Lucas?,bully,NAG,NULL,NULL,OTH,OTH
