ID;TIME;NAME;TEXT;ROLE;HATE;TARGET;VERBAL_ABUSE;INTENTION;CONTEXT;DISAGREEMENT;TYPE_D
0;[2019-06-13 16:36:56]; <Fran_Victime>; Yo miiiiiiiiiiiiiiiiiiiiiiiiiiiich;victim;NAG;NULL;NULL;OTH;NULL;;
1;[2019-06-13 16:37:17]; <Fran_Victime>; a;victim;NAG;NULL;NULL;NULL;NULL;;
2;[2019-06-13 16:37:21]; <Fran_Victime>; fatiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii;victim;NAG;NULL;NULL;OTH;NULL;;
3;[2019-06-13 16:42:00]; <martine_harc>; Salut les cons!;bully;OAG;NULL;NCG;ATK;NULL;;
4;[2019-06-13 16:42:21]; <Fran_Victime>; C toi ki parl;victim;NAG;NULL;NULL;DFN;ATK;;
5;[2019-06-13 16:42:28]; <Fran_Victime>; mais vazi srx;victim;NAG;NULL;NULL;OTH;NULL;;
6;[2019-06-13 16:42:42]; <Fran_Victime>; d'où t'as été mettre mes fotos tepu va;victim;OAG;bully;NCG;DFN;NULL;;
7;[2019-06-13 16:42:44]; <martine_harc>; hey! tu m'parle autrement la grosse!;bully;OAG;victim;DNG;ATK;DFN;HATE;SLOPPY
8;[2019-06-13 16:42:53]; <Fran_Victime>; t kune pute;victim;OAG;bully;NCG;DFN;ATK;;
9;[2019-06-13 16:42:53]; <Fatima_Defenseur>; tfk jenny;victim_support;NAG;NULL;NULL;OTH;NULL;HATE;SLOPPY
10;[2019-06-13 16:43:13]; <martine_harc>; et bah quoi T pas contente? m'en fout;bully;CAG;victim;OTH;ATK;OTH;INTENTION;SLOPPY
11;[2019-06-13 16:43:26]; <Fran_Victime>; pq tu postes des fotos de mwa à poil wsh;victim;NAG;NULL;NULL;OTH;NULL;;
12;[2019-06-13 16:43:29]; <Fran_Victime>; ta pas dvi?;victim;CAG;bully;DNG;DFN;NULL;INTENTION;MISSING
13;[2019-06-13 16:43:50]; <Fatima_Defenseur>; att c qui qui poste des photos de ki a poil;victim_support;NAG;NULL;NULL;OTH;NULL;;
