ID;TIME;NAME;TEXT;ROLE;HATE;TARGET;VERBAL_ABUSE;INTENTION;CONTEXT;DISAGREEMENT;TYPE_D
0;[2:39:30 PM]; <Zoé-Victime>; pourquoi vous avez diffusé des photos de moi ?;victim;NAG;NULL;NULL;OTH;NULL;;
1;[2:39:33 PM]; <Natacha-Soutien-Harceleur>; bande de conne;bully_support;OAG;victim/victim_support;NCG;ATK;NULL;;
2;[2:39:59 PM]; <Marjorie-Harceleur>; salope ! tu t vu ?;bully;OAG;victim;DNG;ATK;OTH;CONTEXT;SLOPPY
3;[2:39:59 PM]; <Zoé-Victime>; marjorie et lucie ? je me suis vu de quoi?;victim;NAG;NULL;NULL;OTH;ATK;;
4;[2:40:24 PM]; <Lucie-Harceleur>; quoi sale grosse;bully;OAG;victim;DNG;ATK;OTH;"VERBAL_ABUSE
CONTEXT";"AMBIGUITY
SLOPPY"
5;[2:40:30 PM]; <Natacha-Soutien-Harceleur>; serieux tu t'es vue pétasse;bully_support;OAG;victim;NCG;ATK;OTH;CONTEXT;SLOPPY
6;[2:40:32 PM]; <Marjorie-Harceleur>; tu ressemble a mon anus;bully;OAG;victim;DNG;ATK;NULL;;
7;[2:40:49 PM]; <Zoé-Victime>; je t ai fait quoi pour que tu dises ça;victim;NAG;NULL;NULL;OTH;ATK;;
8;[2:40:53 PM]; <Natacha-Soutien-Harceleur>; :') :') :') :') ;bully_support;NAG;NULL;NULL;OTH;NULL;;
9;[2:41:30 PM]; <Lucie-Harceleur>; frère t'es là tu fais la lèche avec les profs;bully;CAG;victim;DNG;ATK;NULL;;
10;[2:41:55 PM]; <Soan-Soutien-Victime>; arreté bande de conne vous avez cas travaillé ;victim_support;OAG;bully/bully_support;NCG;DFN;ATK;;
11;[2:41:59 PM]; <Natacha-Soutien-Harceleur>; espece de hassa boulette;bully_support;CAG;victim;NCG;ATK;NULL;VERBAL_ABUSE;SUBJECTIVITY
12;[2:42:07 PM]; <Marjorie-Harceleur>; t grosse tu bouffe que des macdo;bully;OAG;victim;DNG;ATK;NULL;VERBAL_ABUSE;AMBIGUITY
13;[2:42:12 PM]; <Soan-Soutien-Victime>; laissé la tranquille elle vous a rien fais;victim_support;NAG;NULL;NULL;DFN;ATK;;
14;[2:42:19 PM]; <Natacha-Soutien-Harceleur>; toi ta gueule;bully_support;OAG;victim_support;OTH;ATK;DFN;;
15;[2:42:22 PM]; <Lucie-Harceleur>; et  elle elle a qu'a maigrir;bully;CAG;victim;OTH;ATK;NULL;VERBAL_ABUSE;AMBIGUITY
16;[2:42:27 PM]; <Natacha-Soutien-Harceleur>; tu commence a m'enerver;bully_support;CAG;victim_support;OTH;ATK;DFN;TARGET;SLOPPY
17;[2:42:43 PM]; <Zoé-Victime>; tu sais pas ma vie;victim;NAG;NULL;NULL;DFN;ATK;;
