ID;TIME;NAME;TEXT;ROLE;HATE;TARGET;VERBAL_ABUSE;INTENTION;CONTEXT;DISAGREEMENT;TYPE_D
0;[11:30:03 AM]; <Coralie-Soutien-Victime>; bon julie t'arrete avec fatimah la cest toi la cochonne;victim_support;CAG;bully;NCG;DFN;NULL;;
1;[11:30:28 AM]; <Léo-Soutien-Harceleur>; Il se passe quoi ici ?;bully_support;NAG;NULL;NULL;OTH;NULL;;
2;[11:30:55 AM]; <Julie-Harceleur>; alors jvous bz tous;bully;OAG;victim/victim_support;OTH;ATK;NULL;;
3;[11:31:12 AM]; <Léo-Soutien-Harceleur>; Oh ça insulte mdrrrrr;bully_support;NAG;NULL;NULL;OTH;NULL;INTENTION;AMBIGUITY
4;[11:31:13 AM]; <Pierre-Soutien-Victime>; tu bz qui toi;victim_support;NAG;NULL;NULL;OTH;ATK;INTENTION;AMBIGUITY
5;[11:31:14 AM]; <Julie-Harceleur>; vous êtes tous mes putes;bully;OAG;victim/victim_support;OTH;ATK;NULL;VERBAL_ABUSE;AMBIGUITY
6;[11:31:21 AM]; <Fatimah-Victime>; c'est qui tous julie? jcomprends pas;victim;NAG;NULL;NULL;OTH;ATK;;
7;[11:31:34 AM]; <Coralie-Soutien-Victime>; mais gros lol cquoi ton pb va te pendre sal pute;victim_support;OAG;bully;OTH;DFN;ATK;;
8;[11:31:37 AM]; <Julie-Harceleur>; toi en particulier;bully;CAG;victim_support;OTH;ATK;OTH;;
9;[11:31:45 AM]; <Fatimah-Victime>; aaaaaaaaaah ouais,  moi et pourquoi ?;victim;NAG;NULL;NULL;OTH;ATK;;
10;[11:31:50 AM]; <Léo-Soutien-Harceleur>; Ayouuuuu;bully_support;NAG;NULL;NULL;NULL;NULL;;
11;[11:31:56 AM]; <Coralie-Soutien-Victime>; julie ftg;victim_support;OAG;bully;OTH;DFN;ATK;;
12;[11:31:58 AM]; <Julie-Harceleur>; prcq tu chauffes tous les mecs;bully;NAG;NULL;NULL;GSL;OTH;"HATE
INTENTION
CONTEXT";"SUBJECTIVITY
AMBIGUITY
SLOPPY"
13;[11:32:02 AM]; <Fatimah-Victime>; vasi Leo calme toi laisse julie parler;victim;NAG;NULL;NULL;OTH;NULL;;
14;[11:32:13 AM]; <Pierre-Soutien-Victime>; tu va te detendre julie;victim_support;NAG;NULL;NULL;DFN;GSL;INTENTION;SLOPPY
15;[11:32:13 AM]; <Fatimah-Victime>; quelle sexplique;victim;NAG;NULL;NULL;OTH;NULL;CONTEXT;AMBIGUITY
16;[11:32:15 AM]; <Pauline-Conciliateur>; Ca sert a rien de se prendre la tête franchement;conciliator;NAG;NULL;NULL;CR;NULL;;
17;[11:32:32 AM]; <Léo-Soutien-Harceleur>; Bah scuse moi j'trouve ça marrant à peine on arrive y'a embrouille mdrrrrrr C'est toi laisse la parler wsh;bully_support;NAG;NULL;NULL;OTH;OTH;"HATE
INTENTION";"SLOPPY
SUBJECTIVITY"
18;[11:32:55 AM]; <Pierre-Soutien-Victime>; a quelle moment c'est drole d'insulte les gens;victim_support;NAG;NULL;NULL;CNS;OTH;INTENTION;AMBIGUITY
19;[11:32:58 AM]; <Fatimah-Victime>; ah ouais,  toi on insulte,  et tut trouves ça marrant;victim;NAG;NULL;NULL;CNS;OTH;INTENTION;AMBIGUITY
20;[11:33:02 AM]; <Coralie-Soutien-Victime>; clairement;victim_support;NAG;NULL;NULL;EMP;CNS;;
21;[11:33:08 AM]; <Pauline-Conciliateur>; c'est pas grave d'avoir des complexes d'infériorité :);conciliator;CAG;bully;OTH;DFN;NULL;INTENTION;AMBIGUITY
22;[11:33:13 AM]; <Coralie-Soutien-Victime>; vous croyez vous etes droles ? ;victim_support;NAG;NULL;NULL;OTH;NULL;INTENTION;SUBJECTIVITY
23;[11:33:28 AM]; <Julie-Harceleur>; oooooooh fatima retourne faire ton  ramadan a la con ça te fera pas de mal;bully;OAG;victim;DNG;ATK;CNS;CONTEXT;AMBIGUITY
24;[11:33:35 AM]; <Léo-Soutien-Harceleur>; Oof;bully_support;NAG;NULL;NULL;AIN;ATK;INTENTION;MISSING
25;[11:33:41 AM]; <Julie-Harceleur>; ça te menera peut être a la mort;bully;CAG;victim;OTH;ATK;NULL;CONTEXT;AMBIGUITY
26;[11:34:00 AM]; <Coralie-Soutien-Victime>; julie nva sucer tes grans mort;victim_support;OAG;bully;OTH;DFN;ATK;;
